epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,191.056,0.49857,0.91424,0.99693,0.27804,0.000333182,0.000333182,0.067015
2,369.271,0.28193,0.96819,0.99949,0.09487,0.000659916,0.000659916,0.0340084
3,534.769,0.22648,0.97911,0.9996,0.06362,0.000980051,0.000980051,0.000995223
4,700.762,0.17198,0.98475,0.99989,0.04113,0.0009703,0.0009703,0.0009703
5,866.543,0.14681,0.98981,0.99989,0.0277,0.0009604,0.0009604,0.0009604
6,1031.05,0.13092,0.99203,0.99989,0.02114,0.0009505,0.0009505,0.0009505
7,1195.91,0.11797,0.99425,1,0.01743,0.0009406,0.0009406,0.0009406
8,1361.32,0.10545,0.99482,0.99994,0.01486,0.0009307,0.0009307,0.0009307
9,1527.27,0.09709,0.99664,1,0.01107,0.0009208,0.0009208,0.0009208
10,1693.63,0.08668,0.99641,0.99994,0.01108,0.0009109,0.0009109,0.0009109
11,1856.1,0.0814,0.99676,0.99994,0.01006,0.000901,0.000901,0.000901
12,2017.99,0.07485,0.99681,0.99994,0.00965,0.0008911,0.0008911,0.0008911
13,2179.58,0.07051,0.99721,0.99994,0.00877,0.0008812,0.0008812,0.0008812
14,2344.89,0.06694,0.99687,0.99994,0.00876,0.0008713,0.0008713,0.0008713
15,2509.69,0.06378,0.99744,0.99994,0.00863,0.0008614,0.0008614,0.0008614
16,2675.48,0.059,0.99744,0.99989,0.00839,0.0008515,0.0008515,0.0008515
17,2840.65,0.054,0.99755,0.99989,0.00825,0.0008416,0.0008416,0.0008416
18,3006.29,0.05385,0.99772,0.99989,0.00826,0.0008317,0.0008317,0.0008317
19,3171.63,0.0481,0.99778,0.99989,0.00791,0.0008218,0.0008218,0.0008218
20,3337.56,0.04835,0.99772,0.99989,0.00772,0.0008119,0.0008119,0.0008119
21,3502.74,0.04629,0.9975,0.99989,0.00774,0.000802,0.000802,0.000802
22,3667.93,0.04197,0.99761,0.99994,0.00777,0.0007921,0.0007921,0.0007921
23,3832.55,0.04236,0.99772,0.99994,0.00769,0.0007822,0.0007822,0.0007822
24,3997.44,0.03682,0.99767,0.99994,0.00764,0.0007723,0.0007723,0.0007723
25,4163.24,0.03895,0.99761,1,0.00752,0.0007624,0.0007624,0.0007624
26,4328.49,0.03617,0.99789,1,0.00752,0.0007525,0.0007525,0.0007525
27,4494.46,0.03455,0.99807,1,0.00733,0.0007426,0.0007426,0.0007426
28,4660.23,0.03271,0.99801,1,0.00707,0.0007327,0.0007327,0.0007327
29,4825.46,0.03099,0.99807,1,0.00679,0.0007228,0.0007228,0.0007228
30,4991.16,0.03,0.99824,1,0.00662,0.0007129,0.0007129,0.0007129
31,5157.05,0.03168,0.99829,1,0.00647,0.000703,0.000703,0.000703
32,5323.3,0.03076,0.99841,1,0.00632,0.0006931,0.0006931,0.0006931
33,5489.11,0.02821,0.99835,1,0.00618,0.0006832,0.0006832,0.0006832
34,5655.07,0.02352,0.99841,1,0.006,0.0006733,0.0006733,0.0006733
35,5827.43,0.02686,0.99846,0.99994,0.00583,0.0006634,0.0006634,0.0006634
36,5991.86,0.02706,0.99852,0.99994,0.00556,0.0006535,0.0006535,0.0006535
37,6154.06,0.0246,0.99858,0.99994,0.00538,0.0006436,0.0006436,0.0006436
38,6316.28,0.023,0.99841,0.99994,0.00518,0.0006337,0.0006337,0.0006337
39,6479.06,0.02112,0.99863,0.99994,0.005,0.0006238,0.0006238,0.0006238
40,6641.65,0.02402,0.99863,0.99994,0.00487,0.0006139,0.0006139,0.0006139
41,6804.47,0.01893,0.99863,0.99994,0.00471,0.000604,0.000604,0.000604
42,6967.18,0.0224,0.99875,0.99994,0.0046,0.0005941,0.0005941,0.0005941
43,7129.7,0.01817,0.99875,0.99994,0.00451,0.0005842,0.0005842,0.0005842
44,7292.71,0.02027,0.99875,0.99994,0.00434,0.0005743,0.0005743,0.0005743
45,7455.78,0.02005,0.9988,0.99994,0.00413,0.0005644,0.0005644,0.0005644
46,7618.24,0.01812,0.99898,0.99994,0.00397,0.0005545,0.0005545,0.0005545
47,7781.38,0.01754,0.99903,0.99994,0.00388,0.0005446,0.0005446,0.0005446
48,7946.23,0.01613,0.99909,0.99994,0.0038,0.0005347,0.0005347,0.0005347
49,8111.27,0.01739,0.99909,0.99994,0.00378,0.0005248,0.0005248,0.0005248
50,8277.28,0.0166,0.99915,0.99994,0.00372,0.0005149,0.0005149,0.0005149
51,8442.48,0.01516,0.99915,0.99994,0.00362,0.000505,0.000505,0.000505
52,8608.55,0.01606,0.99915,0.99989,0.00362,0.0004951,0.0004951,0.0004951
53,8774.33,0.01426,0.99909,0.99989,0.00361,0.0004852,0.0004852,0.0004852
54,8940.92,0.01562,0.99909,0.99989,0.00362,0.0004753,0.0004753,0.0004753
55,9107.08,0.01284,0.99909,0.99989,0.00361,0.0004654,0.0004654,0.0004654
56,9273.52,0.01471,0.9992,0.99994,0.00356,0.0004555,0.0004555,0.0004555
57,9439.26,0.0108,0.99915,0.99994,0.00351,0.0004456,0.0004456,0.0004456
58,9602.48,0.01248,0.99909,0.99994,0.00347,0.0004357,0.0004357,0.0004357
59,9765.71,0.01166,0.99915,0.99989,0.00343,0.0004258,0.0004258,0.0004258
60,9928.71,0.01242,0.9992,0.99989,0.0034,0.0004159,0.0004159,0.0004159
61,10092.1,0.01184,0.9992,0.99989,0.00339,0.000406,0.000406,0.000406
62,10254.6,0.01133,0.99926,0.99989,0.00337,0.0003961,0.0003961,0.0003961
63,10417.8,0.01036,0.9992,0.99989,0.00338,0.0003862,0.0003862,0.0003862
64,10580.8,0.01108,0.99937,0.99989,0.00329,0.0003763,0.0003763,0.0003763
65,10743.8,0.01095,0.99932,0.99989,0.00327,0.0003664,0.0003664,0.0003664
66,10906.7,0.01008,0.99937,0.99989,0.00339,0.0003565,0.0003565,0.0003565
67,11075.6,0.00919,0.99943,0.99989,0.00329,0.0003466,0.0003466,0.0003466
68,11238,0.00807,0.99949,0.99989,0.00329,0.0003367,0.0003367,0.0003367
69,11401.1,0.00913,0.99949,0.99989,0.00331,0.0003268,0.0003268,0.0003268
70,11563.4,0.00823,0.99949,0.99989,0.00335,0.0003169,0.0003169,0.0003169
71,11726.3,0.00797,0.99943,0.99989,0.00339,0.000307,0.000307,0.000307
72,11889,0.00742,0.99949,0.99989,0.00337,0.0002971,0.0002971,0.0002971
73,12052.1,0.0085,0.9996,0.99989,0.00334,0.0002872,0.0002872,0.0002872
74,12214.6,0.00742,0.99954,0.99989,0.00332,0.0002773,0.0002773,0.0002773
75,12377.5,0.00586,0.99954,0.99994,0.00328,0.0002674,0.0002674,0.0002674
76,12540,0.00646,0.99949,0.99994,0.00323,0.0002575,0.0002575,0.0002575
77,12703.1,0.0075,0.99949,0.99994,0.00322,0.0002476,0.0002476,0.0002476
78,12866,0.00576,0.99949,0.99994,0.00322,0.0002377,0.0002377,0.0002377
79,13028.4,0.00716,0.99949,0.99994,0.00322,0.0002278,0.0002278,0.0002278
80,13191.2,0.00578,0.99949,0.99994,0.00317,0.0002179,0.0002179,0.0002179
81,13354.7,0.00583,0.99949,0.99994,0.00315,0.000208,0.000208,0.000208
82,13517.4,0.00579,0.99949,0.99994,0.00315,0.0001981,0.0001981,0.0001981
83,13680.5,0.00495,0.99949,0.99994,0.00309,0.0001882,0.0001882,0.0001882
84,13843.5,0.00458,0.99954,0.99994,0.00304,0.0001783,0.0001783,0.0001783
85,14006,0.00478,0.99954,0.99994,0.00305,0.0001684,0.0001684,0.0001684
86,14168.6,0.00444,0.99954,0.99994,0.00299,0.0001585,0.0001585,0.0001585
87,14331.5,0.00401,0.99954,0.99994,0.00298,0.0001486,0.0001486,0.0001486
88,14494.4,0.00451,0.99954,0.99994,0.00302,0.0001387,0.0001387,0.0001387
89,14657.9,0.00371,0.99954,0.99994,0.0033,0.0001288,0.0001288,0.0001288
90,14820.7,0.00361,0.99954,0.99994,0.00303,0.0001189,0.0001189,0.0001189
91,15004.6,0.00327,0.99949,0.99994,0.00304,0.000109,0.000109,0.000109
92,15168.1,0.00362,0.99949,0.99994,0.003,9.91e-05,9.91e-05,9.91e-05
93,15331.3,0.00388,0.99949,0.99994,0.00298,8.92e-05,8.92e-05,8.92e-05
